Generation,Mean Fit,Max Fit,Mean Links,Max Links
1,0.924,2.255,6.0,13
2,1.06,2.591,4.0,6
3,0.795,2.591,3.0,4
4,1.097,2.624,4.0,7
5,0.811,2.624,3.0,6
6,1.097,2.654,3.0,4
7,1.118,2.684,3.0,4
8,1.292,4.535,5.0,7
9,1.559,4.535,5.0,9
10,1.706,4.535,6.0,11
11,2.052,4.535,6.0,7
12,2.098,4.686,5.0,7
13,2.391,5.241,6.0,9
14,2.034,5.241,7.0,19
15,1.756,5.241,6.0,10
16,2.026,5.241,9.0,28
17,1.868,5.241,15.0,94
18,1.781,5.482,7.0,13
19,1.947,5.482,6.0,7
20,2.878,6.192,7.0,10
21,2.208,6.192,7.0,13
22,2.458,6.67,6.0,13
23,1.982,6.67,6.0,10
24,1.964,6.67,6.0,10
25,1.95,6.67,8.0,22
26,2.036,6.67,6.0,13
27,2.535,6.67,7.0,13
28,2.286,6.67,7.0,13
29,2.649,6.67,10.0,22
30,1.647,6.67,13.0,31
31,1.262,6.67,7.0,13
32,1.775,6.67,7.0,13
33,1.497,6.67,6.0,14
34,1.984,6.67,6.0,10
35,2.789,6.67,9.0,13
36,2.433,6.67,10.0,13
37,3.138,6.67,9.0,15
38,1.565,6.67,7.0,27
39,1.454,6.67,13.0,40
40,1.585,6.67,12.0,40
41,1.621,6.67,7.0,13
42,2.645,6.999,7.0,10
43,2.704,6.999,9.0,15
44,1.638,6.999,6.0,16
45,2.14,6.999,7.0,14
46,2.871,6.999,8.0,13
47,1.689,6.999,7.0,14
48,1.146,6.999,7.0,19
49,1.943,6.999,9.0,28
50,2.593,7.03,6.0,13
51,2.364,7.03,8.0,22
52,2.832,7.03,10.0,27
53,2.107,7.03,7.0,13
54,2.035,7.776,9.0,19
55,2.858,7.776,11.0,31
56,2.65,7.776,8.0,13
57,1.285,7.776,7.0,13
58,2.542,7.776,9.0,13
59,1.919,7.776,11.0,19
60,2.619,7.776,12.0,27
61,2.823,7.776,12.0,19
62,3.805,7.776,11.0,13
63,2.79,7.776,12.0,19
64,2.428,7.776,9.0,13
65,2.028,7.776,11.0,22
66,2.634,7.776,12.0,21
67,2.521,7.776,10.0,13
68,2.961,7.776,9.0,13
69,2.16,7.776,9.0,21
70,1.436,7.776,10.0,28
71,2.609,7.776,10.0,16
72,3.072,7.776,12.0,31
73,1.985,7.776,13.0,31
74,1.961,7.776,10.0,40
75,3.189,7.776,16.0,46
76,2.744,7.776,18.0,82
77,3.354,7.776,12.0,13
78,1.699,7.776,8.0,13
79,3.029,7.776,10.0,19
80,1.471,7.776,11.0,27
81,3.712,7.776,12.0,13
82,2.467,7.776,11.0,19
83,2.615,7.833,9.0,13
84,1.472,7.833,8.0,13
85,1.959,7.833,10.0,16
86,2.456,7.833,12.0,22
87,1.892,7.833,8.0,13
88,2.129,7.833,10.0,13
89,1.733,7.833,10.0,31
90,4.294,7.833,12.0,16
91,2.055,7.833,8.0,14
92,2.474,7.833,11.0,13
93,2.651,7.833,13.0,40
94,2.83,7.833,15.0,40
95,2.84,7.833,14.0,40
96,1.94,7.833,9.0,15
97,2.696,7.833,14.0,40
98,3.19,8.379,15.0,40
99,2.706,8.379,10.0,14
100,2.165,8.379,10.0,27
